ID,Case Number,Date,Primary Type,Description,Location Description,Arrest,Year,Latitude,Longitude,Location
10278872,HY467389,10/18/2015 11:50:00 PM,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,2022,2.838499,101.758422,"(2.838499, 101.758422)"
10278895,HY467411,10/18/2015 11:50:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,2022,2.834129,101.761946,"(2.834129, 101.761946)"
10278866,HY467390,10/18/2015 11:50:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,DRIVEWAY - RESIDENTIAL,TRUE,2022,2.831624,101.766691,"(2.831624, 101.766691)"
10279273,HY467434,10/18/2015 11:40:00 PM,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,2022,2.825062,101.763796,"(2.825062, 101.763796)"
10278909,HY467416,10/18/2015 11:36:00 PM,OTHER OFFENSE,VIO BAIL BOND: DOM VIOLENCE,APARTMENT,TRUE,2022,2.820708,101.761162,"(2.820708, 101.761162)"
10278871,HY467392,10/18/2015 11:36:00 PM,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,FALSE,2022,2.8299701,101.782217,"(2.8299701, 101.782217)"
10278864,HY467398,10/18/2015 11:35:00 PM,BATTERY,SIMPLE,STREET,FALSE,2022,2.834632,101.7878001,"(2.834632, 101.7878001)"
10278921,HY467401,10/18/2015 11:35:00 PM,ROBBERY,AGGRAVATED,VEHICLE NON-COMMERCIAL,FALSE,2022,2.840777,101.788504,"(2.840777, 101.788504)"
10278911,HY467378,10/18/2015 11:33:00 PM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,2022,2.847396,101.768538,"(2.847396, 101.7685380)"
10278902,HY467383,10/18/2015 11:32:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,2022,2.851597,101.767637,"(2.851597, 101.767637)"
10279547,HY467754,10/18/2015 11:30:00 PM,THEFT,$500 AND UNDER,RESIDENCE,FALSE,2022,2.838615,101.789466,"(2.838615, 101.789466)"
10278870,HY467376,10/18/2015 11:20:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,2022,2.835658,101.788908,"(2.835658, 101.788908)"
10278899,HY467405,10/18/2015 11:20:00 PM,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,FALSE,2022,2.833836,101.788693,"(2.833836, 101.788693)"
10278853,HY467375,10/18/2015 11:20:00 PM,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,2022,2.8320901,101.788833,"(2.8320901, 101.788833)"
10278868,HY467380,10/18/2015 11:15:00 PM,ROBBERY,ARMED: HANDGUN,STREET,FALSE,2022,2.821367,101.791303,"(2.821367, 101.791303)"
10278858,HY467372,10/18/2015 11:15:00 PM,OTHER OFFENSE,GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,VEHICLE NON-COMMERCIAL,TRUE,2022,2.819124,101.786965,"(2.819124, 101.786965)"
10278855,HY467366,10/18/2015 11:10:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,2022,2.813262,101.797848,"(2.813262, 101.797848)"
10278887,HY467397,10/18/2015 11:05:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,2022,2.844429,101.822641,"(2.844429, 101.822641)"
10278897,HY467443,10/18/2015 11:00:00 PM,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,2022,2.850778,101.817664,"(2.850778, 101.817664)"
10278963,HY467491,10/18/2015 11:00:00 PM,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,2022,2.848702,101.819075,"(2.848702, 101.819075)"
10280370,HY467408,10/18/2015 11:00:00 PM,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,2022,2.843853,101.817437,"(2.843853, 101.817437)"
10278883,HY467407,10/18/2015 11:00:00 PM,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,2022,2.8539301,101.824219,"(2.8539301, 101.824219)"
10279983,HY468082,10/18/2015 11:00:00 PM,THEFT,$500 AND UNDER,STREET,FALSE,2022,2.848975,101.830318,"(2.848975, 101.830318)"
10280098,HY468024,10/18/2015 11:00:00 PM,THEFT,OVER $500,STREET,FALSE,2022,2.842364,101.822805,"(2.842364, 101.822805)"
